"Year","Month","Mesic_median","Mesic_mean","Date"
2011,9,37.69,37.69,2011-09-15
2011,10,0,0,2011-10-15
2012,5,NA,NA,2012-05-15
2012,6,NA,NA,2012-06-15
2012,7,NA,NA,2012-07-15
2012,8,NA,NA,2012-08-15
2012,9,NA,NA,2012-09-15
2012,10,NA,NA,2012-10-15
2013,5,51.533,51.533,2013-05-15
2013,6,83.694,83.694,2013-06-15
2013,7,NA,NA,2013-07-15
2013,8,NA,NA,2013-08-15
2013,9,NA,NA,2013-09-15
2013,10,NA,NA,2013-10-15
2014,5,51.425,51.425,2014-05-15
2014,6,NA,NA,2014-06-15
2014,7,59.031,59.031,2014-07-15
2014,8,56.291,56.291,2014-08-15
2014,9,NA,NA,2014-09-15
2014,10,0,0,2014-10-15
2015,5,NA,NA,2015-05-15
2015,6,NA,NA,2015-06-15
2015,7,91.22,91.22,2015-07-15
2015,8,74.273,74.273,2015-08-15
2015,9,12.461,12.461,2015-09-15
2015,10,4.131,4.131,2015-10-15
2016,5,NA,NA,2016-05-15
2016,6,91.1995,91.1995,2016-06-15
2016,7,52.106,52.106,2016-07-15
2016,8,37.3215,37.3215,2016-08-15
2016,9,NA,NA,2016-09-15
2016,10,NA,NA,2016-10-15
2017,5,0.191,0.191,2017-05-15
2017,6,NA,NA,2017-06-15
2017,7,86.673,86.673,2017-07-15
2017,8,NA,NA,2017-08-15
2017,9,NA,NA,2017-09-15
2017,10,0,0,2017-10-15
2018,5,0,0,2018-05-15
2018,6,NA,NA,2018-06-15
2018,7,NA,NA,2018-07-15
2018,8,28.8745,28.8745,2018-08-15
2018,9,3.1695,3.1695,2018-09-15
2018,10,NA,NA,2018-10-15
2019,5,NA,NA,2019-05-15
2019,6,68.138,68.138,2019-06-15
2019,7,43.8035,43.8035,2019-07-15
2019,8,86.299,86.299,2019-08-15
2019,9,45.114,45.114,2019-09-15
2019,10,1.472,1.472,2019-10-15
2020,5,NA,NA,2020-05-15
2020,6,NA,NA,2020-06-15
2020,7,88.4795,88.4795,2020-07-15
2020,8,70.225,70.225,2020-08-15
2020,9,9.094,9.094,2020-09-15
2020,10,NA,NA,2020-10-15
2021,5,31.957,31.957,2021-05-15
2021,6,87.976,87.976,2021-06-15
2021,7,58.132,58.132,2021-07-15
2021,8,NA,NA,2021-08-15
2021,9,86.925,86.925,2021-09-15
2021,10,1.95,1.95,2021-10-15
2022,5,NA,NA,2022-05-15
2022,6,NA,NA,2022-06-15
2022,7,86.7755,86.7755,2022-07-15
2022,8,NA,NA,2022-08-15
2022,9,61.963,61.963,2022-09-15
2022,10,0,0,2022-10-15
2023,5,0,0,2023-05-15
2023,6,84.39,84.39,2023-06-15
2023,7,57.614,57.614,2023-07-15
2023,8,NA,NA,2023-08-15
2023,9,45.1115,45.1115,2023-09-15
2023,10,NA,NA,2023-10-15
