"Year","Month","Mesic_median","Date","Event"
2009,7,72.123,2009-07-15,"pre"
2009,8,25.8795,2009-08-15,"pre"
2009,9,3.677,2009-09-15,"pre"
2009,10,1.206,2009-10-15,"pre"
2010,5,3.381,2010-05-15,"pre"
2010,6,NA,2010-06-15,"pre"
2010,7,42.327,2010-07-15,"pre"
2010,8,26.0365,2010-08-15,"pre"
2010,9,11.9215,2010-09-15,"pre"
2010,10,0,2010-10-15,"pre"
2011,5,0,2011-05-15,"pre"
2011,6,NA,2011-06-15,"pre"
2011,7,54.684,2011-07-15,"pre"
2011,8,29.101,2011-08-15,"pre"
2011,9,19.137,2011-09-15,"pre"
2011,10,14.55,2011-10-15,"pre"
2012,5,NA,2012-05-15,"pre"
2012,6,NA,2012-06-15,"pre"
2012,7,NA,2012-07-15,"pre"
2012,8,NA,2012-08-15,"pre"
2012,9,NA,2012-09-15,"pre"
2012,10,NA,2012-10-15,"pre"
2013,5,NA,2013-05-15,"pre"
2013,6,34.934,2013-06-15,"pre"
2013,7,28.2115,2013-07-15,"pre"
2013,8,8.145,2013-08-15,"pre"
2013,9,20.0855,2013-09-15,"pre"
2013,10,0,2013-10-15,"pre"
2014,5,3.697,2014-05-15,"pre"
2014,6,21.193,2014-06-15,"pre"
2014,7,0.277,2014-07-15,"pre"
2014,8,23.526,2014-08-15,"pre"
2014,9,11.901,2014-09-15,"pre"
2014,10,0,2014-10-15,"pre"
2015,5,0.178,2015-05-15,"pre"
2015,6,54.783,2015-06-15,"pre"
2015,7,28.982,2015-07-15,"pre"
2015,8,24.159,2015-08-15,"pre"
2015,9,6.88,2015-09-15,"pre"
2015,10,NA,2015-10-15,"pre"
2016,5,87.742,2016-05-15,"pre"
2016,6,NA,2016-06-15,"pre"
2016,7,59.904,2016-07-15,"pre"
2016,8,12.771,2016-08-15,"pre"
2016,9,0,2016-09-15,"pre"
2016,10,0.7115,2016-10-15,"pre"
2017,5,0,2017-05-15,"pre"
2017,6,90.292,2017-06-15,"pre"
2017,7,47.845,2017-07-15,"pre"
2017,8,27.678,2017-08-15,"pre"
2017,9,14.867,2017-09-15,"pre"
2017,10,0,2017-10-15,"pre"
2018,5,0,2018-05-15,"post"
2018,6,76.4725,2018-06-15,"post"
2018,7,0.237,2018-07-15,"post"
2018,8,0,2018-08-15,"post"
2018,9,0,2018-09-15,"post"
2018,10,0,2018-10-15,"post"
2019,5,0,2019-05-15,"post"
2019,6,33.5705,2019-06-15,"post"
2019,7,0,2019-07-15,"post"
2019,8,37.682,2019-08-15,"post"
2019,9,35.546,2019-09-15,"post"
2019,10,0,2019-10-15,"post"
2020,5,5.852,2020-05-15,"post"
2020,6,33.8855,2020-06-15,"post"
2020,7,15.737,2020-07-15,"post"
2020,8,5.9905,2020-08-15,"post"
2020,9,1.186,2020-09-15,"post"
2020,10,0,2020-10-15,"post"
2021,5,14.393,2021-05-15,"post"
2021,6,36.6935,2021-06-15,"post"
2021,7,17.555,2021-07-15,"post"
2021,8,30.959,2021-08-15,"post"
2021,9,11.071,2021-09-15,"post"
2021,10,0.949,2021-10-15,"post"
2022,5,11.23,2022-05-15,"post"
2022,6,94.227,2022-06-15,"post"
2022,7,76.8675,2022-07-15,"post"
2022,8,12.14,2022-08-15,"post"
2022,9,15.085,2022-09-15,"post"
2022,10,3.124,2022-10-15,"post"
2023,5,2.135,2023-05-15,"post"
2023,6,24.753,2023-06-15,"post"
2023,7,95.3735,2023-07-15,"post"
2023,8,84.104,2023-08-15,"post"
2023,9,44.859,2023-09-15,"post"
2023,10,0,2023-10-15,"post"
2024,5,NA,2024-05-15,"post"
2024,6,59.528,2024-06-15,"post"
2024,7,30.8015,2024-07-15,"post"
2024,8,4.982,2024-08-15,"post"
2024,9,16.6855,2024-09-15,"post"
2024,10,0.237,2024-10-15,"post"
