"Year","Month","Mesic_median","Mesic_mean","Date"
2011,7,55.119,55.119,2011-07-15
2011,8,28.9825,28.9825,2011-08-15
2011,9,19.137,19.137,2011-09-15
2011,10,NA,NA,2011-10-15
2012,5,NA,NA,2012-05-15
2012,6,NA,NA,2012-06-15
2012,7,NA,NA,2012-07-15
2012,8,NA,NA,2012-08-15
2012,9,NA,NA,2012-09-15
2012,10,NA,NA,2012-10-15
2013,5,NA,NA,2013-05-15
2013,6,36.5555,36.5555,2013-06-15
2013,7,34.439,34.439,2013-07-15
2013,8,16.725,16.725,2013-08-15
2013,9,20.402,20.402,2013-09-15
2013,10,NA,NA,2013-10-15
2014,5,NA,NA,2014-05-15
2014,6,23.605,23.605,2014-06-15
2014,7,0.277,0.277,2014-07-15
2014,8,24.001,24.001,2014-08-15
2014,9,11.901,11.901,2014-09-15
2014,10,NA,NA,2014-10-15
2015,5,NA,NA,2015-05-15
2015,6,55.396,55.396,2015-06-15
2015,7,29.5165,29.5165,2015-07-15
2015,8,23.724,23.724,2015-08-15
2015,9,7.315,7.315,2015-09-15
2015,10,NA,NA,2015-10-15
2016,5,88.374,88.374,2016-05-15
2016,6,NA,NA,2016-06-15
2016,7,61.11,61.11,2016-07-15
2016,8,13.918,13.918,2016-08-15
2016,9,NA,NA,2016-09-15
2016,10,1.423,1.423,2016-10-15
2017,5,0,0,2017-05-15
2017,6,90.6485,90.6485,2017-06-15
2017,7,48.023,48.023,2017-07-15
2017,8,29.042,29.042,2017-08-15
2017,9,14.867,14.867,2017-09-15
2017,10,0,0,2017-10-15
2018,5,NA,NA,2018-05-15
2018,6,67.14,67.14,2018-06-15
2018,7,0.237,0.237,2018-07-15
2018,8,0,0,2018-08-15
2018,9,0,0,2018-09-15
2018,10,NA,NA,2018-10-15
2019,5,NA,NA,2019-05-15
2019,6,61.803,61.803,2019-06-15
2019,7,NA,NA,2019-07-15
2019,8,45.3335,45.3335,2019-08-15
2019,9,36.614,36.614,2019-09-15
2019,10,0,0,2019-10-15
2020,5,6.7215,6.7215,2020-05-15
2020,6,37.425,37.425,2020-06-15
2020,7,17.476,17.476,2020-07-15
2020,8,6.208,6.208,2020-08-15
2020,9,0.7115,0.7115,2020-09-15
2020,10,0,0,2020-10-15
2021,5,15.4015,15.4015,2021-05-15
2021,6,37.761,37.761,2021-06-15
2021,7,17.318,17.318,2021-07-15
2021,8,NA,NA,2021-08-15
2021,9,11.071,11.071,2021-09-15
2021,10,0.474,0.474,2021-10-15
2022,5,11.23,11.23,2022-05-15
2022,6,94.227,94.227,2022-06-15
2022,7,77.876,77.876,2022-07-15
2022,8,10.835,10.835,2022-08-15
2022,9,15.836,15.836,2022-09-15
2022,10,4.547,4.547,2022-10-15
2023,5,NA,NA,2023-05-15
2023,6,NA,NA,2023-06-15
2023,7,94.84,94.84,2023-07-15
2023,8,81.692,81.692,2023-08-15
2023,9,43.356,43.356,2023-09-15
2023,10,0.474,0.474,2023-10-15
