"Year","Month","Mesic_median","Date","Event"
2009,10,0,2009-10-15,"pre"
2010,5,0,2010-05-15,"pre"
2010,6,88.477,2010-06-15,"pre"
2010,7,79.424,2010-07-15,"pre"
2010,8,37.448,2010-08-15,"pre"
2010,9,3.8065,2010-09-15,"pre"
2010,10,0,2010-10-15,"pre"
2011,5,0,2011-05-15,"pre"
2011,6,89.506,2011-06-15,"pre"
2011,7,88.2715,2011-07-15,"pre"
2011,8,31.893,2011-08-15,"pre"
2011,9,35.803,2011-09-15,"pre"
2011,10,2.778,2011-10-15,"pre"
2012,5,NA,2012-05-15,"post"
2012,6,NA,2012-06-15,"post"
2012,7,NA,2012-07-15,"post"
2012,8,NA,2012-08-15,"post"
2012,9,NA,2012-09-15,"post"
2012,10,NA,2012-10-15,"post"
2013,5,51.029,2013-05-15,"post"
2013,6,63.5805,2013-06-15,"post"
2013,7,67.7985,2013-07-15,"post"
2013,8,29.9385,2013-08-15,"post"
2013,9,21.2965,2013-09-15,"post"
2013,10,2.675,2013-10-15,"post"
2014,5,84.568,2014-05-15,"post"
2014,6,88.477,2014-06-15,"post"
2014,7,75,2014-07-15,"post"
2014,8,0.206,2014-08-15,"post"
2014,9,31.07,2014-09-15,"post"
2014,10,0,2014-10-15,"post"
2015,5,20.1645,2015-05-15,"post"
2015,6,90.741,2015-06-15,"post"
2015,7,76.543,2015-07-15,"post"
2015,8,50.7205,2015-08-15,"post"
2015,9,0,2015-09-15,"post"
2015,10,0,2015-10-15,"post"
2016,5,81.893,2016-05-15,"post"
2016,6,92.5925,2016-06-15,"post"
2016,7,84.465,2016-07-15,"post"
2016,8,24.28,2016-08-15,"post"
2016,9,0,2016-09-15,"post"
2016,10,0,2016-10-15,"post"
2017,5,65.638,2017-05-15,"post"
2017,6,92.181,2017-06-15,"post"
2017,7,86.008,2017-07-15,"post"
2017,8,53.2925,2017-08-15,"post"
2017,9,30.9675,2017-09-15,"post"
2017,10,0.6175,2017-10-15,"post"
2018,5,0.72,2018-05-15,"post"
2018,6,88.272,2018-06-15,"post"
2018,7,81.687,2018-07-15,"post"
2018,8,45.267,2018-08-15,"post"
2018,9,0,2018-09-15,"post"
2018,10,0,2018-10-15,"post"
2019,5,1.543,2019-05-15,"post"
2019,6,92.7985,2019-06-15,"post"
2019,7,92.284,2019-07-15,"post"
2019,8,82.819,2019-08-15,"post"
2019,9,63.375,2019-09-15,"post"
2019,10,2.469,2019-10-15,"post"
2020,5,8.539,2020-05-15,"post"
2020,6,44.033,2020-06-15,"post"
2020,7,81.996,2020-07-15,"post"
2020,8,34.362,2020-08-15,"post"
2020,9,0.617,2020-09-15,"post"
2020,10,0,2020-10-15,"post"
2021,5,8.848,2021-05-15,"post"
2021,6,87.654,2021-06-15,"post"
2021,7,77.572,2021-07-15,"post"
2021,8,63.2715,2021-08-15,"post"
2021,9,23.1485,2021-09-15,"post"
2021,10,2.572,2021-10-15,"post"
2022,5,11.728,2022-05-15,"post"
2022,6,90.741,2022-06-15,"post"
2022,7,90.946,2022-07-15,"post"
2022,8,75.5145,2022-08-15,"post"
2022,9,22.017,2022-09-15,"post"
2022,10,3.292,2022-10-15,"post"
2023,5,42.387,2023-05-15,"post"
2023,6,54.32,2023-06-15,"post"
2023,7,91.975,2023-07-15,"post"
2023,8,70.885,2023-08-15,"post"
2023,9,75.103,2023-09-15,"post"
2023,10,4.938,2023-10-15,"post"
2024,5,49.4855,2024-05-15,"post"
2024,6,92.798,2024-06-15,"post"
2024,7,77.9835,2024-07-15,"post"
2024,8,49.28,2024-08-15,"post"
2024,9,10.906,2024-09-15,"post"
2024,10,1.749,2024-10-15,"post"
