"Year","Month","Mesic_median","Date","Event"
2009,7,20.833,2009-07-15,"pre"
2009,8,28.85,2009-08-15,"pre"
2009,9,31.364,2009-09-15,"pre"
2009,10,22.292,2009-10-15,"pre"
2010,5,NA,2010-05-15,"pre"
2010,6,3.832,2010-06-15,"pre"
2010,7,28.464,2010-07-15,"pre"
2010,8,2.25,2010-08-15,"pre"
2010,9,23.453,2010-09-15,"pre"
2010,10,NA,2010-10-15,"pre"
2011,5,2.795,2011-05-15,"pre"
2011,6,31.048,2011-06-15,"pre"
2011,7,41.72,2011-07-15,"pre"
2011,8,27.9535,2011-08-15,"pre"
2011,9,51.231,2011-09-15,"pre"
2011,10,2.11,2011-10-15,"pre"
2012,5,NA,2012-05-15,"pre"
2012,6,NA,2012-06-15,"pre"
2012,7,NA,2012-07-15,"pre"
2012,8,NA,2012-08-15,"pre"
2012,9,NA,2012-09-15,"pre"
2012,10,NA,2012-10-15,"pre"
2013,5,3.34,2013-05-15,"pre"
2013,6,1.231,2013-06-15,"pre"
2013,7,3.6395,2013-07-15,"pre"
2013,8,8.896,2013-08-15,"pre"
2013,9,0,2013-09-15,"pre"
2013,10,18.179,2013-10-15,"pre"
2014,5,4.184,2014-05-15,"pre"
2014,6,1.758,2014-06-15,"pre"
2014,7,17.036,2014-07-15,"pre"
2014,8,35.724,2014-08-15,"pre"
2014,9,45.71,2014-09-15,"pre"
2014,10,36.586,2014-10-15,"pre"
2015,5,NA,2015-05-15,"pre"
2015,6,0,2015-06-15,"pre"
2015,7,9.511,2015-07-15,"pre"
2015,8,24.578,2015-08-15,"pre"
2015,9,29.887,2015-09-15,"pre"
2015,10,2.2855,2015-10-15,"pre"
2016,5,9.6515,2016-05-15,"post"
2016,6,NA,2016-06-15,"post"
2016,7,16.6665,2016-07-15,"post"
2016,8,31.5045,2016-08-15,"post"
2016,9,NA,2016-09-15,"post"
2016,10,23.453,2016-10-15,"post"
2017,5,13.291,2017-05-15,"post"
2017,6,28.5865,2017-06-15,"post"
2017,7,28.9735,2017-07-15,"post"
2017,8,42.985,2017-08-15,"post"
2017,9,26.406,2017-09-15,"post"
2017,10,4.606,2017-10-15,"post"
2018,5,13.801,2018-05-15,"post"
2018,6,33.4215,2018-06-15,"post"
2018,7,39.768,2018-07-15,"post"
2018,8,42.616,2018-08-15,"post"
2018,9,34.564,2018-09-15,"post"
2018,10,7.261,2018-10-15,"post"
2019,5,3.305,2019-05-15,"post"
2019,6,35.9,2019-06-15,"post"
2019,7,37.3595,2019-07-15,"post"
2019,8,56.0655,2019-08-15,"post"
2019,9,NA,2019-09-15,"post"
2019,10,NA,2019-10-15,"post"
2020,5,0,2020-05-15,"post"
2020,6,0,2020-06-15,"post"
2020,7,10.408,2020-07-15,"post"
2020,8,NA,2020-08-15,"post"
2020,9,15.647,2020-09-15,"post"
2020,10,10.355,2020-10-15,"post"
2021,5,4.184,2021-05-15,"post"
2021,6,26.618,2021-06-15,"post"
2021,7,32.8765,2021-07-15,"post"
2021,8,55.6965,2021-08-15,"post"
2021,9,65.6295,2021-09-15,"post"
2021,10,45.746,2021-10-15,"post"
2022,5,NA,2022-05-15,"post"
2022,6,NA,2022-06-15,"post"
2022,7,63.01,2022-07-15,"post"
2022,8,69.8135,2022-08-15,"post"
2022,9,36.9725,2022-09-15,"post"
2022,10,53.446,2022-10-15,"post"
2023,5,NA,2023-05-15,"post"
2023,6,48.664,2023-06-15,"post"
2023,7,68.056,2023-07-15,"post"
2023,8,60.549,2023-08-15,"post"
2023,9,70.148,2023-09-15,"post"
2023,10,8.052,2023-10-15,"post"
2024,5,19.761,2024-05-15,"post"
2024,6,52.216,2024-06-15,"post"
2024,7,61.6035,2024-07-15,"post"
2024,8,76.5295,2024-08-15,"post"
2024,9,73.418,2024-09-15,"post"
2024,10,34.987,2024-10-15,"post"
