"Year","Month","Mesic_median","Date","Event"
2009,9,36.5575,2009-09-15,"pre"
2009,10,NA,2009-10-15,"pre"
2010,5,0,2010-05-15,"pre"
2010,6,86.639,2010-06-15,"pre"
2010,7,89.393,2010-07-15,"pre"
2010,8,64.5525,2010-08-15,"pre"
2010,9,23.3465,2010-09-15,"pre"
2010,10,0,2010-10-15,"pre"
2011,5,NA,2011-05-15,"pre"
2011,6,0.068,2011-06-15,"pre"
2011,7,96.0465,2011-07-15,"pre"
2011,8,91.561,2011-08-15,"pre"
2011,9,42.966,2011-09-15,"pre"
2011,10,0,2011-10-15,"pre"
2012,5,NA,2012-05-15,"pre"
2012,6,NA,2012-06-15,"pre"
2012,7,NA,2012-07-15,"pre"
2012,8,NA,2012-08-15,"pre"
2012,9,NA,2012-09-15,"pre"
2012,10,NA,2012-10-15,"pre"
2013,5,57.15,2013-05-15,"pre"
2013,6,53.006,2013-06-15,"pre"
2013,7,NA,2013-07-15,"pre"
2013,8,15.2145,2013-08-15,"pre"
2013,9,16.347,2013-09-15,"pre"
2013,10,NA,2013-10-15,"pre"
2014,5,54.233,2014-05-15,"pre"
2014,6,0,2014-06-15,"pre"
2014,7,71.274,2014-07-15,"pre"
2014,8,71.67,2014-08-15,"pre"
2014,9,4.103,2014-09-15,"pre"
2014,10,0.082,2014-10-15,"pre"
2015,5,16.129,2015-05-15,"pre"
2015,6,3.108,2015-06-15,"pre"
2015,7,78.356,2015-07-15,"pre"
2015,8,59.4465,2015-08-15,"pre"
2015,9,7.198,2015-09-15,"pre"
2015,10,3.313,2015-10-15,"pre"
2016,5,NA,2016-05-15,"pre"
2016,6,85.9775,2016-06-15,"pre"
2016,7,18.875,2016-07-15,"pre"
2016,8,25.9235,2016-08-15,"pre"
2016,9,0,2016-09-15,"pre"
2016,10,0,2016-10-15,"pre"
2017,5,0.559,2017-05-15,"post"
2017,6,17.723,2017-06-15,"post"
2017,7,94.8395,2017-07-15,"post"
2017,8,NA,2017-08-15,"post"
2017,9,NA,2017-09-15,"post"
2017,10,0,2017-10-15,"post"
2018,5,0,2018-05-15,"post"
2018,6,48.5405,2018-06-15,"post"
2018,7,53.994,2018-07-15,"post"
2018,8,62.8625,2018-08-15,"post"
2018,9,12.243,2018-09-15,"post"
2018,10,NA,2018-10-15,"post"
2019,5,NA,2019-05-15,"post"
2019,6,33.7555,2019-06-15,"post"
2019,7,45.419,2019-07-15,"post"
2019,8,67.9015,2019-08-15,"post"
2019,9,58.747,2019-09-15,"post"
2019,10,3.313,2019-10-15,"post"
2020,5,2.5905,2020-05-15,"post"
2020,6,0,2020-06-15,"post"
2020,7,87.103,2020-07-15,"post"
2020,8,69.558,2020-08-15,"post"
2020,9,18.665,2020-09-15,"post"
2020,10,0,2020-10-15,"post"
2021,5,13.3335,2021-05-15,"post"
2021,6,74.152,2021-06-15,"post"
2021,7,25.699,2021-07-15,"post"
2021,8,NA,2021-08-15,"post"
2021,9,73.388,2021-09-15,"post"
2021,10,1.1245,2021-10-15,"post"
2022,5,1.132,2022-05-15,"post"
2022,6,54.3905,2022-06-15,"post"
2022,7,66.013,2022-07-15,"post"
2022,8,24.786,2022-08-15,"post"
2022,9,28.63,2022-09-15,"post"
2022,10,0,2022-10-15,"post"
2023,5,0,2023-05-15,"post"
2023,6,41.943,2023-06-15,"post"
2023,7,18.9095,2023-07-15,"post"
2023,8,0,2023-08-15,"post"
2023,9,12.434,2023-09-15,"post"
2023,10,0,2023-10-15,"post"
2024,5,NA,2024-05-15,"post"
2024,6,24.8605,2024-06-15,"post"
2024,7,14.451,2024-07-15,"post"
2024,8,13.967,2024-08-15,"post"
2024,9,0.164,2024-09-15,"post"
2024,10,0,2024-10-15,"post"
