"Year","Month","Mesic_median","Date","Event"
2006,6,26.9055,2006-06-15,"pre"
2006,7,33.058,2006-07-15,"pre"
2006,8,19.238,2006-08-15,"pre"
2006,9,13.958,2006-09-15,"pre"
2006,10,0.3215,2006-10-15,"pre"
2007,5,49.77,2007-05-15,"pre"
2007,6,25.6205,2007-06-15,"pre"
2007,7,23.508,2007-07-15,"pre"
2007,8,13.2235,2007-08-15,"pre"
2007,9,13.177,2007-09-15,"pre"
2007,10,NA,2007-10-15,"pre"
2008,5,14.233,2008-05-15,"pre"
2008,6,44.17,2008-06-15,"pre"
2008,7,39.21,2008-07-15,"pre"
2008,8,45.455,2008-08-15,"pre"
2008,9,11.8,2008-09-15,"pre"
2008,10,5.326,2008-10-15,"pre"
2009,5,15.7025,2009-05-15,"post"
2009,6,45.179,2009-06-15,"post"
2009,7,30.3495,2009-07-15,"post"
2009,8,27.227,2009-08-15,"post"
2009,9,17.08,2009-09-15,"post"
2009,10,10.4225,2009-10-15,"post"
2010,5,45.455,2010-05-15,"post"
2010,6,80.808,2010-06-15,"post"
2010,7,42.7455,2010-07-15,"post"
2010,8,34.527,2010-08-15,"post"
2010,9,11.8455,2010-09-15,"post"
2010,10,8.7235,2010-10-15,"post"
2011,5,16.437,2011-05-15,"post"
2011,6,76.033,2011-06-15,"post"
2011,7,51.4695,2011-07-15,"post"
2011,8,43.113,2011-08-15,"post"
2011,9,33.884,2011-09-15,"post"
2011,10,0,2011-10-15,"post"
2012,5,NA,2012-05-15,"post"
2012,6,NA,2012-06-15,"post"
2012,7,NA,2012-07-15,"post"
2012,8,NA,2012-08-15,"post"
2012,9,NA,2012-09-15,"post"
2012,10,NA,2012-10-15,"post"
2013,5,45.271,2013-05-15,"post"
2013,6,59.4125,2013-06-15,"post"
2013,7,61.616,2013-07-15,"post"
2013,8,47.1075,2013-08-15,"post"
2013,9,45.317,2013-09-15,"post"
2013,10,11.525,2013-10-15,"post"
2014,5,72.177,2014-05-15,"post"
2014,6,56.107,2014-06-15,"post"
2014,7,28.9715,2014-07-15,"post"
2014,8,39.302,2014-08-15,"post"
2014,9,42.241,2014-09-15,"post"
2014,10,9.458,2014-10-15,"post"
2015,5,49.449,2015-05-15,"post"
2015,6,43.3425,2015-06-15,"post"
2015,7,32.874,2015-07-15,"post"
2015,8,21.166,2015-08-15,"post"
2015,9,17.172,2015-09-15,"post"
2015,10,2.939,2015-10-15,"post"
2016,5,65.106,2016-05-15,"post"
2016,6,54.5455,2016-06-15,"post"
2016,7,50.9645,2016-07-15,"post"
2016,8,31.497,2016-08-15,"post"
2016,9,3.03,2016-09-15,"post"
2016,10,0,2016-10-15,"post"
2017,5,70.064,2017-05-15,"post"
2017,6,49.587,2017-06-15,"post"
2017,7,28.834,2017-07-15,"post"
2017,8,20.248,2017-08-15,"post"
2017,9,31.7725,2017-09-15,"post"
2017,10,17.3555,2017-10-15,"post"
2018,5,9.9175,2018-05-15,"post"
2018,6,60.515,2018-06-15,"post"
2018,7,41.736,2018-07-15,"post"
2018,8,23.784,2018-08-15,"post"
2018,9,20.478,2018-09-15,"post"
2018,10,0,2018-10-15,"post"
2019,5,45.225,2019-05-15,"post"
2019,6,87.649,2019-06-15,"post"
2019,7,67.723,2019-07-15,"post"
2019,8,42.6545,2019-08-15,"post"
2019,9,10.928,2019-09-15,"post"
2019,10,15.06,2019-10-15,"post"
2020,5,9.7335,2020-05-15,"post"
2020,6,44.858,2020-06-15,"post"
2020,7,31.3595,2020-07-15,"post"
2020,8,18.182,2020-08-15,"post"
2020,9,20.11,2020-09-15,"post"
2020,10,5.418,2020-10-15,"post"
2021,5,0,2021-05-15,"post"
2021,6,39.302,2021-06-15,"post"
2021,7,25.896,2021-07-15,"post"
2021,8,28.0535,2021-08-15,"post"
2021,9,14.784,2021-09-15,"post"
2021,10,18.09,2021-10-15,"post"
2022,5,64.922,2022-05-15,"post"
2022,6,65.29,2022-06-15,"post"
2022,7,55.832,2022-07-15,"post"
2022,8,42.7,2022-08-15,"post"
2022,9,39.394,2022-09-15,"post"
2022,10,27.824,2022-10-15,"post"
2023,5,55.188,2023-05-15,"post"
2023,6,56.566,2023-06-15,"post"
2023,7,30.349,2023-07-15,"post"
2023,8,19.8805,2023-08-15,"post"
2023,9,47.475,2023-09-15,"post"
2023,10,14.417,2023-10-15,"post"
2024,5,72.6355,2024-05-15,"post"
2024,6,43.894,2024-06-15,"post"
2024,7,30.992,2024-07-15,"post"
2024,8,34.206,2024-08-15,"post"
2024,9,42.057,2024-09-15,"post"
2024,10,18.917,2024-10-15,"post"
