"Year","Month","Mesic_median","Mesic_mean","Date"
2011,5,NA,NA,2011-05-15
2011,6,5.159,5.159,2011-06-15
2011,7,12.4435,11.47975,2011-07-15
2011,8,18.8495,18.8495,2011-08-15
2011,9,9.5805,8.1915,2011-09-15
2011,10,NA,NA,2011-10-15
2012,5,NA,NA,2012-05-15
2012,6,NA,NA,2012-06-15
2012,7,NA,NA,2012-07-15
2012,8,NA,NA,2012-08-15
2012,9,NA,NA,2012-09-15
2012,10,NA,NA,2012-10-15
2013,5,NA,NA,2013-05-15
2013,6,3.2595,3.2595,2013-06-15
2013,7,4.932,4.932,2013-07-15
2013,8,0,0,2013-08-15
2013,9,2.381,2.381,2013-09-15
2013,10,0.822,0.822,2013-10-15
2014,5,NA,NA,2014-05-15
2014,6,1.644,1.644,2014-06-15
2014,7,0,0,2014-07-15
2014,8,10.601,10.601,2014-08-15
2014,9,5.811,5.811,2014-09-15
2014,10,0,0,2014-10-15
2015,5,NA,NA,2015-05-15
2015,6,22.336,22.336,2015-06-15
2015,7,21.939,21.939,2015-07-15
2015,8,13.095,13.095,2015-08-15
2015,9,0.964,2.192,2015-09-15
2015,10,0.68,0.68,2015-10-15
2016,5,NA,NA,2016-05-15
2016,6,18.764,18.764,2016-06-15
2016,7,12.869,9.22166666666667,2016-07-15
2016,8,1.077,2.91,2016-08-15
2016,9,0.68,1.41733333333333,2016-09-15
2016,10,0.425,0.425,2016-10-15
2017,5,0,0,2017-05-15
2017,6,5.3285,5.3285,2017-06-15
2017,7,8.56,9.24066666666667,2017-07-15
2017,8,10.601,10.601,2017-08-15
2017,9,0.113,0.491333333333333,2017-09-15
2017,10,1.1905,1.1905,2017-10-15
2018,5,NA,NA,2018-05-15
2018,6,9.439,9.439,2018-06-15
2018,7,13.634,10.94125,2018-07-15
2018,8,10.771,9.127,2018-08-15
2018,9,8.107,6.16066666666667,2018-09-15
2018,10,0,0,2018-10-15
2019,5,NA,NA,2019-05-15
2019,6,3.231,3.231,2019-06-15
2019,7,10.828,10.828,2019-07-15
2019,8,17.687,17.687,2019-08-15
2019,9,14.8525,14.8525,2019-09-15
2019,10,0,1.39833333333333,2019-10-15
2020,5,0,0,2020-05-15
2020,6,3.8265,3.8265,2020-06-15
2020,7,14.5125,14.5125,2020-07-15
2020,8,16.809,16.809,2020-08-15
2020,9,3.628,6.85966666666667,2020-09-15
2020,10,1.361,1.361,2020-10-15
2021,5,0,0,2021-05-15
2021,6,4.535,4.8895,2021-06-15
2021,7,3.855,3.855,2021-07-15
2021,8,33.0225,33.0225,2021-08-15
2021,9,2.3525,4.28,2021-09-15
2021,10,1.417,1.417,2021-10-15
2022,5,0,0,2022-05-15
2022,6,0,3.76033333333333,2022-06-15
2022,7,32.823,32.4266666666667,2022-07-15
2022,8,29.705,21.032,2022-08-15
2022,9,20.5785,18.38175,2022-09-15
2022,10,2.4375,2.4375,2022-10-15
2023,5,NA,NA,2023-05-15
2023,6,NA,NA,2023-06-15
2023,7,29.989,25.5955,2023-07-15
2023,8,32.257,32.257,2023-08-15
2023,9,17.687,20.0306666666667,2023-09-15
2023,10,1.587,1.587,2023-10-15
