"Year","Month","Mesic_median","Date","Event"
2009,10,0,2009-10-15,"pre"
2010,5,0,2010-05-15,"pre"
2010,6,26.958,2010-06-15,"pre"
2010,7,89.08,2010-07-15,"pre"
2010,8,37.138,2010-08-15,"pre"
2010,9,17.0885,2010-09-15,"pre"
2010,10,0.143,2010-10-15,"pre"
2011,5,0,2011-05-15,"pre"
2011,6,11.66,2011-06-15,"pre"
2011,7,NA,2011-07-15,"pre"
2011,8,14.358,2011-08-15,"pre"
2011,9,27.237,2011-09-15,"pre"
2011,10,0,2011-10-15,"pre"
2012,5,NA,2012-05-15,"pre"
2012,6,NA,2012-06-15,"pre"
2012,7,NA,2012-07-15,"pre"
2012,8,NA,2012-08-15,"pre"
2012,9,NA,2012-09-15,"pre"
2012,10,NA,2012-10-15,"pre"
2013,5,0,2013-05-15,"pre"
2013,6,0.0955,2013-06-15,"pre"
2013,7,8.516,2013-07-15,"pre"
2013,8,31.535,2013-08-15,"pre"
2013,9,51.385,2013-09-15,"pre"
2013,10,10.6495,2013-10-15,"pre"
2014,5,4.011,2014-05-15,"pre"
2014,6,13.817,2014-06-15,"pre"
2014,7,66.945,2014-07-15,"pre"
2014,8,69.708,2014-08-15,"pre"
2014,9,67.478,2014-09-15,"pre"
2014,10,7.617,2014-10-15,"pre"
2015,5,0,2015-05-15,"pre"
2015,6,37.918,2015-06-15,"pre"
2015,7,NA,2015-07-15,"pre"
2015,8,47.835,2015-08-15,"pre"
2015,9,32.601,2015-09-15,"pre"
2015,10,1.0345,2015-10-15,"pre"
2016,5,0,2016-05-15,"pre"
2016,6,33.015,2016-06-15,"pre"
2016,7,34.209,2016-07-15,"pre"
2016,8,0,2016-08-15,"pre"
2016,9,40.186,2016-09-15,"pre"
2016,10,0,2016-10-15,"pre"
2017,5,0,2017-05-15,"pre"
2017,6,25.6365,2017-06-15,"pre"
2017,7,50.413,2017-07-15,"pre"
2017,8,83.142,2017-08-15,"pre"
2017,9,0,2017-09-15,"pre"
2017,10,0,2017-10-15,"pre"
2018,5,0,2018-05-15,"post"
2018,6,43.0035,2018-06-15,"post"
2018,7,31.6055,2018-07-15,"post"
2018,8,73.519,2018-08-15,"post"
2018,9,54.934,2018-09-15,"post"
2018,10,NA,2018-10-15,"post"
2019,5,0,2019-05-15,"post"
2019,6,1.0665,2019-06-15,"post"
2019,7,61.621,2019-07-15,"post"
2019,8,0,2019-08-15,"post"
2019,9,82.9435,2019-09-15,"post"
2019,10,12.846,2019-10-15,"post"
2020,5,0.175,2020-05-15,"post"
2020,6,45.129,2020-06-15,"post"
2020,7,26.974,2020-07-15,"post"
2020,8,29.9585,2020-08-15,"post"
2020,9,44.962,2020-09-15,"post"
2020,10,7.1875,2020-10-15,"post"
2021,5,NA,2021-05-15,"post"
2021,6,0,2021-06-15,"post"
2021,7,5.2135,2021-07-15,"post"
2021,8,48.583,2021-08-15,"post"
2021,9,72.222,2021-09-15,"post"
2021,10,2.117,2021-10-15,"post"
2022,5,0,2022-05-15,"post"
2022,6,NA,2022-06-15,"post"
2022,7,62.99,2022-07-15,"post"
2022,8,73.711,2022-08-15,"post"
2022,9,50.0475,2022-09-15,"post"
2022,10,0.159,2022-10-15,"post"
2023,5,0,2023-05-15,"post"
2023,6,17.049,2023-06-15,"post"
2023,7,31.0015,2023-07-15,"post"
2023,8,50.223,2023-08-15,"post"
2023,9,8.612,2023-09-15,"post"
2023,10,1.003,2023-10-15,"post"
2024,5,0,2024-05-15,"post"
2024,6,0.573,2024-06-15,"post"
2024,7,38.2045,2024-07-15,"post"
2024,8,55.1655,2024-08-15,"post"
2024,9,NA,2024-09-15,"post"
2024,10,0.716,2024-10-15,"post"
