"Year","Month","Mesic_median","Mesic_mean","Date"
2012,7,NA,NA,2012-07-15
2012,8,NA,NA,2012-08-15
2012,9,NA,NA,2012-09-15
2012,10,NA,NA,2012-10-15
2013,5,NA,NA,2013-05-15
2013,6,NA,NA,2013-06-15
2013,7,NA,NA,2013-07-15
2013,8,31.997,31.997,2013-08-15
2013,9,NA,NA,2013-09-15
2013,10,12.743,12.743,2013-10-15
2014,5,NA,NA,2014-05-15
2014,6,14.008,14.008,2014-06-15
2014,7,66.746,66.746,2014-07-15
2014,8,NA,NA,2014-08-15
2014,9,67.319,67.319,2014-09-15
2014,10,16.985,16.985,2014-10-15
2015,5,NA,NA,2015-05-15
2015,6,37.886,37.886,2015-06-15
2015,7,NA,NA,2015-07-15
2015,8,48.273,48.273,2015-08-15
2015,9,39.732,39.732,2015-09-15
2015,10,1.2975,1.2975,2015-10-15
2016,5,0,0,2016-05-15
2016,6,33.763,33.763,2016-06-15
2016,7,34.8695,34.8695,2016-07-15
2016,8,NA,NA,2016-08-15
2016,9,42.733,42.733,2016-09-15
2016,10,0,0,2016-10-15
2017,5,NA,NA,2017-05-15
2017,6,28.4225,28.4225,2017-06-15
2017,7,53.12,53.12,2017-07-15
2017,8,NA,NA,2017-08-15
2017,9,0,0,2017-09-15
2017,10,0,0,2017-10-15
2018,5,0,0,2018-05-15
2018,6,53.1515,53.1515,2018-06-15
2018,7,62.527,62.527,2018-07-15
2018,8,75.533,75.533,2018-08-15
2018,9,55.794,55.794,2018-09-15
2018,10,NA,NA,2018-10-15
2019,5,NA,NA,2019-05-15
2019,6,NA,NA,2019-06-15
2019,7,NA,NA,2019-07-15
2019,8,NA,NA,2019-08-15
2019,9,93.123,93.123,2019-09-15
2019,10,NA,NA,2019-10-15
2020,5,NA,NA,2020-05-15
2020,6,NA,NA,2020-06-15
2020,7,53.311,53.311,2020-07-15
2020,8,28.701,28.701,2020-08-15
2020,9,87.281,87.281,2020-09-15
2020,10,7.0445,7.0445,2020-10-15
2021,5,NA,NA,2021-05-15
2021,6,NA,NA,2021-06-15
2021,7,NA,NA,2021-07-15
2021,8,47.437,47.437,2021-08-15
2021,9,40.64,40.64,2021-09-15
2021,10,0,0,2021-10-15
2022,5,NA,NA,2022-05-15
2022,6,NA,NA,2022-06-15
2022,7,NA,NA,2022-07-15
2022,8,NA,NA,2022-08-15
2022,9,5.794,5.794,2022-09-15
2022,10,0,0,2022-10-15
2023,5,0,0,2023-05-15
2023,6,1.576,1.576,2023-06-15
2023,7,5.524,5.524,2023-07-15
2023,8,NA,NA,2023-08-15
2023,9,0,0,2023-09-15
2023,10,0.6845,0.6845,2023-10-15
