"Year","Month","Mesic_median","Mesic_mean","Date"
2013,6,NA,NA,2013-06-15
2013,7,NA,NA,2013-07-15
2013,8,0,0,2013-08-15
2013,9,NA,NA,2013-09-15
2013,10,0,0,2013-10-15
2014,5,NA,NA,2014-05-15
2014,6,24.762,24.762,2014-06-15
2014,7,37.46,37.46,2014-07-15
2014,8,NA,NA,2014-08-15
2014,9,8.254,8.254,2014-09-15
2014,10,0,0,2014-10-15
2015,5,NA,NA,2015-05-15
2015,6,29.9995,29.9995,2015-06-15
2015,7,NA,NA,2015-07-15
2015,8,65.079,65.079,2015-08-15
2015,9,6.032,6.032,2015-09-15
2015,10,0,0,2015-10-15
2016,5,0,0,2016-05-15
2016,6,33.016,33.016,2016-06-15
2016,7,35.238,35.238,2016-07-15
2016,8,NA,NA,2016-08-15
2016,9,11.5875,11.5875,2016-09-15
2016,10,0,0,2016-10-15
2017,5,NA,NA,2017-05-15
2017,6,54.286,54.286,2017-06-15
2017,7,0,0,2017-07-15
2017,8,NA,NA,2017-08-15
2017,9,44.127,44.127,2017-09-15
2017,10,0,0,2017-10-15
2018,5,0,0,2018-05-15
2018,6,0.635,0.635,2018-06-15
2018,7,61.587,61.587,2018-07-15
2018,8,14.603,14.603,2018-08-15
2018,9,0,0,2018-09-15
2018,10,NA,NA,2018-10-15
2019,5,NA,NA,2019-05-15
2019,6,NA,NA,2019-06-15
2019,7,NA,NA,2019-07-15
2019,8,NA,NA,2019-08-15
2019,9,65.397,65.397,2019-09-15
2019,10,NA,NA,2019-10-15
2020,5,NA,NA,2020-05-15
2020,6,NA,NA,2020-06-15
2020,7,0,0,2020-07-15
2020,8,0,0,2020-08-15
2020,9,0,0,2020-09-15
2020,10,0,0,2020-10-15
2021,5,NA,NA,2021-05-15
2021,6,NA,NA,2021-06-15
2021,7,NA,NA,2021-07-15
2021,8,30.476,30.476,2021-08-15
2021,9,0,0,2021-09-15
2021,10,0,0,2021-10-15
2022,5,NA,NA,2022-05-15
2022,6,NA,NA,2022-06-15
2022,7,NA,NA,2022-07-15
2022,8,NA,NA,2022-08-15
2022,9,0,0,2022-09-15
2022,10,0,0,2022-10-15
2023,5,0,0,2023-05-15
2023,6,0,0,2023-06-15
2023,7,0,0,2023-07-15
2023,8,NA,NA,2023-08-15
2023,9,0,0,2023-09-15
2023,10,0,0,2023-10-15
