"Year","Month","Mesic_median","Mesic_mean","Date"
2011,8,55.219,39.899,2011-08-15
2011,9,20.623,20.623,2011-09-15
2011,10,0,0,2011-10-15
2012,5,NA,NA,2012-05-15
2012,6,NA,NA,2012-06-15
2012,7,NA,NA,2012-07-15
2012,8,NA,NA,2012-08-15
2012,9,NA,NA,2012-09-15
2012,10,NA,NA,2012-10-15
2013,5,NA,NA,2013-05-15
2013,6,56.2295,56.2295,2013-06-15
2013,7,61.0275,61.61675,2013-07-15
2013,8,46.1285,46.1285,2013-08-15
2013,9,26.768,26.768,2013-09-15
2013,10,2.1885,2.1885,2013-10-15
2014,5,83.502,83.502,2014-05-15
2014,6,81.818,81.818,2014-06-15
2014,7,66.8355,53.61975,2014-07-15
2014,8,26.852,26.852,2014-08-15
2014,9,39.5625,39.5625,2014-09-15
2014,10,0,0,2014-10-15
2015,5,18.4345,18.4345,2015-05-15
2015,6,83.3335,83.3335,2015-06-15
2015,7,76.0105,76.0105,2015-07-15
2015,8,45.96,45.96,2015-08-15
2015,9,0.505,0.785666666666667,2015-09-15
2015,10,0,0,2015-10-15
2016,5,77.441,77.441,2016-05-15
2016,6,87.374,87.374,2016-06-15
2016,7,76.852,61.40575,2016-07-15
2016,8,46.8855,46.8855,2016-08-15
2016,9,0,0,2016-09-15
2016,10,0,0,2016-10-15
2017,5,61.784,50.3926666666667,2017-05-15
2017,6,86.869,87.2053333333333,2017-06-15
2017,7,82.323,64.366,2017-07-15
2017,8,57.576,54.321,2017-08-15
2017,9,26.599,26.599,2017-09-15
2017,10,1.01,1.01,2017-10-15
2018,5,2.357,2.357,2018-05-15
2018,6,81.145,81.145,2018-06-15
2018,7,73.99,70.28625,2018-07-15
2018,8,42.0875,42.0875,2018-08-15
2018,9,2.6095,2.6095,2018-09-15
2018,10,0,0,2018-10-15
2019,5,2.525,2.525,2019-05-15
2019,6,91.4985,91.4985,2019-06-15
2019,7,85.859,86.476,2019-07-15
2019,8,76.936,77.441,2019-08-15
2019,9,NA,NA,2019-09-15
2019,10,2.02,2.02,2019-10-15
2020,5,0.505,0.505,2020-05-15
2020,6,80.808,80.808,2020-06-15
2020,7,75.337,74.5795,2020-07-15
2020,8,34.007,34.007,2020-08-15
2020,9,2.357,2.357,2020-09-15
2020,10,0,0,2020-10-15
2021,5,6.566,23.8496666666667,2021-05-15
2021,6,80.2185,80.2185,2021-06-15
2021,7,73.569,71.998,2021-07-15
2021,8,56.9025,52.86225,2021-08-15
2021,9,21.2125,18.3505,2021-09-15
2021,10,3.6195,3.6195,2021-10-15
2022,5,18.687,18.687,2022-05-15
2022,6,89.562,89.562,2022-06-15
