"Year","Month","Mesic_median","Mesic_mean"
2019,6,88.2465,88.2465
2019,7,59.413,65.6876666666667
2019,8,54.729,48.2096666666667
2019,9,NA,NA
2019,10,15.06,15.06
2020,5,0,0
2020,6,43.71,43.71
2020,7,32.599,33.79275
2020,8,20.11,20.11
2020,9,22.7735,22.7735
2020,10,8.1265,8.1265
2021,5,0,4.224
2021,6,50.735,50.735
2021,7,25.987,30.7316666666667
2021,8,29.6145,33.127
2021,9,14.922,19.14625
2021,10,19.33,19.33
2022,5,65.289,65.289
2022,6,64.647,64.647
2022,7,54.73,50.5363333333333
2022,8,45.5465,42.7
2022,9,40.588,40.588
2022,10,27.457,31.8646666666667
2023,5,65.657,65.657
2023,6,56.841,43.863
2023,7,28.742,29.3546666666667
2023,8,21.855,32.4153333333333
2023,9,49.4955,49.4955
2023,10,30.946,30.946
